sample_id,timestamp,label
secom_0000,2008-07-19 11:55:00,0
secom_0001,2008-07-19 12:32:00,0
secom_0002,2008-07-19 13:17:00,1
secom_0003,2008-07-19 14:43:00,0
secom_0004,2008-07-19 15:22:00,0
secom_0005,2008-07-19 17:53:00,0
secom_0006,2008-07-19 19:44:00,0
secom_0007,2008-07-19 19:45:00,0
secom_0008,2008-07-19 20:24:00,0
secom_0009,2008-07-19 21:35:00,0
secom_0010,2008-07-19 21:57:00,1
secom_0011,2008-07-19 22:52:00,1
secom_0012,2008-07-20 03:35:00,0
secom_0013,2008-07-21 08:21:00,0
secom_0014,2008-07-21 11:53:00,1
secom_0015,2008-07-22 00:03:00,0
secom_0016,2008-07-22 02:59:00,0
secom_0017,2008-07-22 08:41:00,0
secom_0018,2008-07-22 11:47:00,0
secom_0019,2008-07-22 14:00:00,0
secom_0020,2008-07-22 15:30:00,0
secom_0021,2008-07-23 05:15:00,0
secom_0022,2008-07-23 19:22:00,0
secom_0023,2008-07-25 15:23:00,1
secom_0024,2008-07-27 04:18:00,0
secom_0025,2008-07-27 09:37:00,0
secom_0026,2008-07-27 11:10:00,0
secom_0027,2008-07-27 15:46:00,0
secom_0028,2008-07-27 16:06:00,0
secom_0029,2008-07-27 16:49:00,0
secom_0030,2008-07-27 20:24:00,0
secom_0031,2008-07-27 22:28:00,0
secom_0032,2008-07-27 22:28:00,0
secom_0033,2008-07-27 23:14:00,0
secom_0034,2008-07-28 03:31:00,0
secom_0035,2008-07-28 03:48:00,0
secom_0036,2008-07-28 04:37:00,0
secom_0037,2008-07-28 05:36:00,0
secom_0038,2008-07-28 06:45:00,1
secom_0039,2008-07-28 08:36:00,0
secom_0040,2008-07-28 15:11:00,1
secom_0041,2008-07-28 23:57:00,0
secom_0042,2008-07-29 04:08:00,0
secom_0043,2008-07-29 05:16:00,0
secom_0044,2008-07-29 06:19:00,0
secom_0045,2008-07-29 08:23:00,1
secom_0046,2008-07-29 11:47:00,0
secom_0047,2008-07-29 15:41:00,0
secom_0048,2008-07-29 15:49:00,1
secom_0049,2008-07-29 17:05:00,1
secom_0050,2008-07-29 18:08:00,1
secom_0051,2008-07-29 21:07:00,0
secom_0052,2008-07-29 23:14:00,0
secom_0053,2008-07-29 23:19:00,0
secom_0054,2008-07-30 06:30:00,0
secom_0055,2008-07-30 07:08:00,0
secom_0056,2008-07-30 12:02:00,0
